,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Nabannagan,US,1562801516,19.71,-155.08,301.15,65,75,4.6
134,Nabannagan,CD,1562801712,-4.54,18.6,298.868,56,96,2.6
135,Nabannagan,NG,1562801713,12.41,4.49,301.568,57,44,4.95
136,Nabannagan,RU,1562801449,69.38,178.42,279.768,68,5,2.68
137,Nabannagan,RU,1562801716,52.47,96.11,286.268,93,57,1.98
138,Nabannagan,GB,1562801717,51.06,-1.31,290.93,72,0,3.1
139,Nabannagan,PE,1562801718,-10.07,-78.15,290.368,86,0,4.63
140,Nabannagan,CA,1562801720,58.81,-122.69,295.15,35,40,2.6
141,Nabannagan,RU,1562801473,70.62,147.9,294.668,57,44,1.79
142,Nabannagan,EG,1562801599,31.35,27.25,298.15,94,40,3.6
143,Nabannagan,CD,1562801723,-7.57,24.18,292.468,49,43,0.49
144,Nabannagan,ID,1562801724,4.14,96.13,300.468,78,93,2.73
145,Nabannagan,RE,1562801442,-21.15,55.28,293.15,60,0,4.6
146,Nabannagan,US,1562801727,43.82,-111.79,304.15,25,1,2.1
147,Nabannagan,PG,1562801728,-2.57,150.8,301.568,72,96,4.57
148,Nabannagan,RU,1562801729,65.95,111.51,293.15,52,0,1.0
149,Nabannagan,SA,1562801731,24.63,46.72,303.15,13,0,2.6
150,Nabannagan,US,1562801732,41.28,-70.1,299.15,83,1,4.6
151,Nabannagan,KR,1562801491,37.57,126.98,295.15,100,90,0.5
152,Nabannagan,CL,1562801593,-41.87,-73.83,281.15,93,90,4.1
153,Nabannagan,CD,1562801735,-3.52,23.6,295.068,81,84,1.05
154,Nabannagan,KI,1562801272,3.07,172.79,302.768,65,51,1.81
155,Nabannagan,GR,1562801509,39.45,22.34,297.15,73,75,9.3
156,Nabannagan,DZ,1562801739,27.87,-0.29,311.15,13,0,3.6
157,Nabannagan,CA,1562801740,45.63,-73.98,303.15,54,75,2.1
158,Nabannagan,AU,1562801741,-28.95,153.24,291.15,71,0,2.6
159,Nabannagan,AU,1562801628,-33.86,121.89,282.15,100,90,5.1
160,Nabannagan,GF,1562801744,4.27,-54.38,295.468,97,40,0.76
161,Nabannagan,AU,1562801745,-34.72,135.86,288.268,77,87,13.09
162,Nabannagan,UY,1562801746,-33.69,-53.46,285.668,84,100,2.42
163,Nabannagan,PT,1562801747,41.42,-6.55,295.468,49,0,1.33
164,Nabannagan,CA,1562801749,53.65,-115.58,290.15,82,90,2.6
165,Nabannagan,RU,1562801750,69.49,88.39,281.15,75,0,5.0
166,Nabannagan,MU,1562801754,-20.34,57.76,294.15,88,40,1.0
167,Nabannagan,IN,1562801756,26.12,85.39,299.15,100,90,4.1
168,Nabannagan,BR,1562801700,-0.97,-62.93,296.468,97,31,0.95
169,Nabannagan,CA,1562801758,65.28,-126.83,297.15,33,75,3.6
170,Nabannagan,NE,1562801720,18.74,7.39,308.968,22,23,5.45
171,Nabannagan,DE,1562801760,52.17,14.25,288.15,72,0,2.1
172,Nabannagan,BR,1562801762,-6.09,-35.21,298.15,83,75,2.6
173,Nabannagan,ZW,1562801763,-18.93,29.81,282.368,64,0,2.57
174,Nabannagan,US,1562801541,40.8,-124.16,295.15,64,1,3.6
175,Nabannagan,RU,1562801766,67.8,130.41,293.768,40,0,3.11
176,Nabannagan,RU,1562801767,59.38,28.61,282.468,78,100,2.01
177,Nabannagan,PT,1562801559,38.73,-27.07,294.15,94,20,3.61
178,Nabannagan,SL,1562801772,7.62,-11.83,295.968,96,100,0.83
179,Nabannagan,BR,1562801773,-18.92,-54.84,295.768,37,0,2.88
180,Nabannagan,ET,1562801774,8.25,34.59,295.268,61,100,1.89
181,Nabannagan,LK,1562801776,8.58,81.23,299.168,75,100,2.8
182,Nabannagan,RU,1562801423,69.3,139.9,296.668,46,9,2.09
183,Nabannagan,RU,1562801778,57.46,28.17,286.15,93,96,2.0
184,Nabannagan,CV,1562801779,14.9,-24.5,296.068,85,25,8.15
185,Nabannagan,BR,1562801281,-22.97,-42.02,292.15,77,0,3.6
186,Nabannagan,RU,1562801515,67.46,153.71,301.668,24,47,3.2
187,Nabannagan,ET,1562801783,8.96,38.73,287.15,82,75,2.1
188,Nabannagan,AU,1562801784,-31.65,116.67,285.15,93,75,0.5
189,Nabannagan,RU,1562801785,68.06,166.44,297.868,32,29,2.47
190,Nabannagan,GL,1562801786,68.82,-51.19,279.15,93,4,2.1
191,Nabannagan,RU,1562801787,64.42,-173.23,297.15,47,0,4.0
192,Nabannagan,PF,1562801789,-16.48,-151.75,298.368,69,12,0.73
193,Nabannagan,CA,1562801790,49.91,-109.46,301.468,36,77,6.12
194,Nabannagan,NO,1562801791,68.56,14.91,285.93,86,0,6.56
195,Nabannagan,GB,1562801792,51.94,-0.88,292.59,63,100,2.1
196,Nabannagan,AU,1562801793,-34.67,150.86,290.93,41,0,7.7
197,Nabannagan,CN,1562801509,40.29,97.04,298.168,24,100,4.76
198,Nabannagan,BR,1562801796,-24.76,-51.76,283.768,92,59,1.31
199,Nabannagan,NE,1562801797,16.97,7.99,302.15,58,1,3.6
200,Nabannagan,ID,1562801798,-5.67,132.75,298.668,79,86,9.02
201,Nabannagan,AU,1562801800,-42.78,147.06,285.37,61,40,5.1
202,Nabannagan,PK,1562801801,24.14,67.45,301.868,82,100,9.81
203,Nabannagan,PF,1562801802,-17.73,-149.15,301.15,65,20,10.3
204,Nabannagan,BR,1562801803,-2.8,-57.07,296.368,95,93,0.82
205,Nabannagan,CA,1562801636,45.36,-73.48,303.15,45,1,2.6
206,Nabannagan,BR,1562801583,-19.31,-48.92,290.668,44,0,1.72
207,Nabannagan,AL,1562801807,40.25,19.57,294.26,81,85,0.89
208,Nabannagan,KZ,1562801808,45.32,55.19,297.368,57,30,3.32
209,Nabannagan,BT,1562801809,27.58,89.86,283.268,99,100,0.71
210,Nabannagan,IN,1562801810,25.64,88.33,299.268,94,100,3.7
211,Nabannagan,CO,1562801812,11.78,-72.45,307.15,44,40,5.1
212,Nabannagan,ZA,1562801813,-34.0,24.73,284.168,76,0,2.08
213,Nabannagan,PT,1562801814,37.14,-8.45,296.48,64,0,2.1
214,Nabannagan,US,1562801534,34.64,-120.46,300.15,72,1,6.7
215,Nabannagan,AR,1562801816,-40.81,-62.99,282.468,64,98,3.28
216,Nabannagan,ID,1562801818,-1.24,116.86,297.15,100,40,1.0
217,Nabannagan,US,1562801819,38.9,-98.86,304.15,35,1,6.2
218,Nabannagan,US,1562801804,46.81,-100.78,301.15,42,1,2.1
219,Nabannagan,MX,1562801821,23.99,-104.67,297.15,38,75,3.1
220,Nabannagan,AU,1562801822,-35.71,150.18,288.15,39,83,2.68
221,Nabannagan,ID,1562801823,-7.95,110.28,295.968,82,0,4.37
222,Nabannagan,MV,1562801272,-0.6,73.08,302.168,72,100,4.42
223,Nabannagan,TR,1562801826,38.92,27.84,294.068,64,40,0.21
224,Nabannagan,IS,1562801827,63.44,-20.27,284.668,81,99,5.6
225,Nabannagan,NZ,1562801828,-45.41,167.72,281.368,81,54,0.73
226,Nabannagan,CA,1562801830,58.52,-117.13,295.15,33,40,2.1
227,Nabannagan,BR,1562801831,-25.4,-51.46,282.168,96,49,0.82
228,Nabannagan,AF,1562801832,36.41,64.91,298.268,24,0,3.3
229,Nabannagan,CI,1562801833,6.62,-5.91,295.15,100,0,2.1
230,Nabannagan,RU,1562801835,66.77,123.37,299.068,38,32,2.13
231,Nabannagan,PT,1562801512,38.52,-28.7,294.468,88,0,2.94
232,Nabannagan,AU,1562801837,-37.83,140.78,284.15,87,75,7.2
233,Nabannagan,NO,1562801494,78.22,15.63,281.15,81,75,2.1
234,Nabannagan,BR,1562801839,-1.2,-46.02,298.068,85,39,2.91
235,Nabannagan,IR,1562801841,32.86,59.22,299.15,12,0,7.2
236,Nabannagan,CN,1562801842,39.7,122.97,294.568,69,77,1.95
237,Nabannagan,RU,1562801843,58.04,63.7,289.368,97,94,3.64
238,Nabannagan,NA,1562801844,-17.88,15.07,286.268,21,100,2.32
239,Nabannagan,VU,1562801644,-19.55,169.27,299.15,69,75,5.1
240,Nabannagan,MY,1562801847,5.02,118.33,296.268,92,94,0.71
241,Nabannagan,ID,1562801848,-2.54,115.51,296.468,88,88,0.24
242,Nabannagan,CA,1562801465,55.74,-97.86,295.15,33,75,2.6
243,Nabannagan,PG,1562801850,-3.66,152.44,299.568,80,100,8.02
244,Nabannagan,CA,1562801703,49.72,-86.95,291.15,93,75,4.6
245,Nabannagan,GL,1562801852,69.22,-51.1,279.15,93,14,2.1
246,Nabannagan,PH,1562801854,18.07,121.53,300.668,72,50,1.63
